영문테이블,한글테이블,영문컬럼,한글컬럼,DATA TYPE,NULL 여부,정수,소수점,PK
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CO_C_INTN_CONE,공통코드인스턴스내용,VARCHAR2,Y,500,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CO_CDVA_ABV_NM,공통코드값약어명,VARCHAR2,Y,100,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CO_CDVA_SPS,공통코드값적요,VARCHAR2,Y,2000,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,HRK_CDVA_ID,상위코드값ID,VARCHAR2,Y,40,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,LOG_HIS_TGR_SNO,로그이력전문일련번호,NUMBER,N,18,,Y
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CO_C_ID,공통코드ID,VARCHAR2,N,20,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CDVA_ID,코드값ID,VARCHAR2,N,40,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,STT_DTM,시작일시,DATE,N,,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,END_DTM,종료일시,DATE,Y,,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CO_CDVA_NM,공통코드값명,VARCHAR2,Y,500,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CO_C_NM,공통코드명,VARCHAR2,Y,100,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CDVA_NM,코드값명,VARCHAR2,Y,200,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,C_SQN_SNO,코드순서일련번호,NUMBER,Y,9,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CO_C_INTN_NM,공통코드인스턴스명,VARCHAR2,Y,200,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CO_C_INTN_CONE,공통코드인스턴스내용,VARCHAR2,Y,500,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CO_CDVA_ABV_NM,공통코드값약어명,VARCHAR2,Y,100,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CO_CDVA_SPS,공통코드값적요,VARCHAR2,Y,2000,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,HRK_CDVA_ID,상위코드값ID,VARCHAR2,Y,40,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CHG_DTT_YN,변경구분여부,VARCHAR2,Y,1,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CHG_DTM,변경일시,DATE,N,,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,CHG_USID,변경사용자ID,VARCHAR2,Y,14,,N
