No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,BATCH상세성공건수,BTC_DTL_SCS_CNT,NUMBER,10,,배치상세의 실행시 성공된 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,BATCH상세성공여부,BTC_DTL_SCS_YN,VARCHAR2,1,,배치상세의 실행 성공 여부(성공 : Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,BATCH상세시작일시,BTC_DTL_STT_DTM,DATE,,,배치상세의 실행 시작 일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,BATCH상세실패건수,BTC_DTL_FLUR_CNT,NUMBER,10,,배치상세의 실행시 실패된 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,BATCH상세업무명,BTC_DTL_BZ_NM,VARCHAR2,100,,배치상세의 업무 명칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,BATCH상세오류내용,BTC_DTL_ERR_CONE,VARCHAR2,1000,,배치상세의 실행시 오류가 발생하였을경우 오류코드 와 오류MESSAGE를 저장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,BATCH상세일련번호,BTC_DTL_SNO,NUMBER,9,,배치의 실행시 세부적으로 업무들을 일련번호로 정의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,BATCH상세종료시각,BTC_DTL_END_TM,VARCHAR2,6,,배치상세의 실행 종료 시각(시분초 : HH24MISS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,BATCH상세종료일자,BTC_DTL_END_DT,VARCHAR2,8,,배치상세의 실행 종료 일자(년월일 : YYYYMMDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,BATCH성공건수,BTC_SCS_CNT,NUMBER,10,,배치의 실행시 성공된 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,BATCH성공여부,BTC_SCS_YN,VARCHAR2,1,,배치의 실행 성공 여부(성공 : Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,BATCH수행일시,BTC_FLFLL_DTM,DATE,,,BATCH가 실제 수행된 일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,BATCH시작일시,BTC_STT_DTM,DATE,,,[BATCH_시작_일시] : 배치작업을 시작한 일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,BATCH실패건수,BTC_FLUR_CNT,NUMBER,10,,배치의 실행시 실패된 등록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,BATCH실행명,BTC_EXE_NM,VARCHAR2,100,,배치를 실행하는 명령어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,BATCH실행상태명,BTC_EXE_STS_NM,VARCHAR2,100,,"배치 실행시 상태 (예 : ""R"" :실행중",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,BATCH실행상태코드,BTC_EXE_STS_C,VARCHAR2,2,,배치 실행 후 진행 상태를 파악하기 위한 코드 이다.(10:실행중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,BATCH실행주기구분코드,BTC_EXE_CLE_TC,VARCHAR2,2,,배치작업 수행주기를 구분하는 코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,BATCH실행회차,BTC_EXE_TOD,NUMBER,5,,BATCH기준일자에 BATCH프로그램ID별 수행회차,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,BATCH업무명,BTC_BZ_NM,VARCHAR2,100,,배치가 수행하는 업무명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,BATCH여부,BTC_YN,VARCHAR2,1,,[배치_여부] : ATM기기의 부점 배치 여부(Y/N),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,BATCH예약여부,BTC_BKN_YN,VARCHAR2,1,,배치 여부 판단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,BATCH오류내용,BTC_ERR_CONE,VARCHAR2,1000,,배치의 실행시 오류가 발생하였을경우 오류코드 와 오류MESSAGE를 저장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,BATCH오류명세,BTC_ERR_SFS,VARCHAR2,4000,,퇴직연금 관련 BATCH거래시 오류가 발생할 경우 해당 오류 내용 저장한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,BATCH오류사유,BTC_ERR_RSN,VARCHAR2,600,,배치 실행시 오류발생 사유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
