No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36236,생산능력금액,PDT_ABTY_AMT,NUMBER,18,3,제품의 생산능력에 대한 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36237,생산능력수량,PDT_ABTY_QTY,NUMBER,20,,생산 능력의 수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36238,생산능력실적일련번호,PDT_ABTY_RSL_SNO,NUMBER,9,,업체의 생산능력 및 실적 현황에 대한 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36239,생산배출량집약도값,PDT_EMQ_CAT_VL,NUMBER,28,10,생산 배출량 (영토 기준으로 국내에서 생산되는 배출량으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36240,생산설비능력설명,PDT_EQS_ABTY_DES,VARCHAR2,200,,생산설비현황 생산능력에 대한 설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36241,생산설비실적설명,PDT_EQS_RSL_DES,VARCHAR2,200,,생산설비현황 생산실적에 대한 설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36242,생산설비제품명,PDT_EQS_MFT_NM,VARCHAR2,100,,생산설비현황 제품명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36243,생산시설규모역량해당여부구분코드,PDT_FCL_SCL_CAPB_TCS_YN_C,VARCHAR2,1,,표준기술평가모형의 자체 생산역량 7가지 지표 중 생산시설규모코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36244,생산시설수준역량해당여부구분코드,PDT_FCL_LVL_CAPB_TCS_YN_C,VARCHAR2,1,,표준기술평가모형의 자체 생산역량 7가지 지표 중 생산시설수준코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36245,생산실적금액,PDT_RSL_AMT,NUMBER,18,3,제품의 생산실적에 대한 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36246,생산실적수량,PDT_RSL_QTY,NUMBER,20,,제품의 생산실적에 대한 수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36247,생산인력수급역량해당여부구분코드,PDT_HPW_SND_CAPB_TCS_YN_C,VARCHAR2,1,,표준기술평가모형의 자체 생산역량 7가지 지표 중 생산인력수급코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36248,생산인력수준역량해당여부구분코드,PDT_HPW_LVL_CAPB_TCS_YN_C,VARCHAR2,1,,표준기술평가모형의 자체 생산역량 7가지 지표 중 생산인력 수준코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36249,생산제품항목명,PDT_MFT_ITM_NM,VARCHAR2,500,,생산 제품의 항목 명칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36250,생산중지발생일자,PDT_ABT_OCC_DT,VARCHAR2,8,,생산중단발생일자를 나타냄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36251,생산중지업체구분코드,PDT_ABT_BNE_TC,VARCHAR2,1,,생산중단 발생 업체의 구분(1 : 중단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36252,생산판매기준일자,PDT_SLE_BSE_DT,VARCHAR2,8,,업체의 제품 생산판매현황에 대한 기준일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36253,생산판매내수금액,PDT_SLE_DDM_AMT,NUMBER,18,3,제품의 생산판매에 대한 내수금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36254,생산판매내수수량,PDT_SLE_DDM_QTY,NUMBER,20,,제품의 생산판매에 대한 내수수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36255,생산판매미분리금액,PDT_SLE_NSRT_AMT,NUMBER,18,3,제품의 생산판매에 대한 수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36256,생산판매미분리수량,PDT_SLE_NSRT_QTY,NUMBER,20,,제품의 생산판매에 대한 수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36257,생산판매수출가격단위코드,PDT_SLE_EXP_PR_UNT_C,VARCHAR2,2,,판매현황제품의 생산판매에 대한 수출금액의 가격 단위를 정의한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36258,생산판매수출금액,PDT_SLE_EXP_AMT,NUMBER,18,3,제품의 생산판매에 대한 수출금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36259,생산판매수출수량,PDT_SLE_EXP_QTY,NUMBER,20,,제품의 생산판매에 대한 수출수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36260,생성수량,GNT_QTY,NUMBER,10,,1차카드 발급 신청한 수량 중 카드번호 채번한 수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36261,생성연도,GNT_YY,VARCHAR2,4,,과목을 등록한 년도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36262,생성일시,GNT_DTM,DATE,,,생성된 날짜와 시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36263,생성일자,GNT_DT,VARCHAR2,8,,[생성_일자] :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36264,생성캠페인일련번호,GNT_CAMP_SNO,NUMBER,9,,생성된 캠페인의 순번,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36265,생성회수금액,GNT_RCM_AMT,NUMBER,18,3,거래 생성 회수 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36266,생성회수일자,GNT_RCM_DT,VARCHAR2,8,,거래 생성 회수일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36267,생애내부예상손실금액,LIFT_ITN_EL_AMT,NUMBER,18,3,LifeTime 부도율 적용된 내부예상손실금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"내부예상손실금액 = LTPD (LifeTime PD) × LONGRUN_LOSS_RT × CRDT_EP_AMT_2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36268,생애부도율산출시나리오대상여부,LIFT_PD_CPUT_SRO_TGT_YN,VARCHAR2,1,,Lifetime 부도율(생애 부도율) 산출시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36269,생애부도율추정기준년월,LIFT_PD_ASP_BSE_YM,VARCHAR2,6,,Lifetime 부도율(생애 부도율) 산출시 적용된 추정 데이터의 기준년월.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36270,생애최초주택매입여부,LIFT_FST_HSE_PRH_YN,VARCHAR2,1,,생애 최초로 주택 매입 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36271,생존율,SUVE_RT,NUMBER,13,10,생존율의 값,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36272,서고등록ID,BKRM_ENR_ID,VARCHAR2,9,,부실기업 서고등록 관리번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36273,서류교부채널유형코드,PES_HOV_CHN_TP_C,VARCHAR2,2,,상품서류교부 방법을 코드로 부여하여 관리(00:해당없음,70:대면/우편/이메일),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36274,서류단위구분코드,PES_UNT_TC,VARCHAR2,1,,수입신용장 개설시 상업송장부수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36275,서류대출적격대상확인일자,PES_LD_CQF_TGT_CNFM_DT,VARCHAR2,8,,무신용장방식수입금융 지출요청건에 대한 서류및대출적격대상 확인일자를 관리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36276,서류도착기산일자,PES_ARV_RKF_DT,VARCHAR2,8,,서류가 도착한 기산 일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36277,서류도착일자,PES_ARV_DT,VARCHAR2,8,,서류가 도착한 일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36278,서류등록일자,PES_ENR_DT,VARCHAR2,8,,신용장 서류도착 등록일자를 나타냅니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36279,서류명,PES_NM,VARCHAR2,100,,물품수령증명서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36280,서류발송여부,PES_SD_YN,VARCHAR2,1,,서류에 대한 발송 여부를 관리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36281,서류발송일자수정여부,PES_SD_DT_AMN_YN,VARCHAR2,1,,선적서류의 발송 일자의 수정 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36282,서류발송후LG발급여부,PES_SD_AF_LG_ISN_YN,VARCHAR2,1,,서류발송 후 수입화물선취보증발급 여부를 관리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36283,서류보완일자,PES_SPLT_DT,VARCHAR2,8,,서류의 보완일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36284,서류상세내용,PES_DTL_CONE,VARCHAR2,4000,,비대면 서류의 구분별 상세내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36285,서류수취은행부서명,PES_RECV_BNK_DPM_NM,VARCHAR2,100,,MAIL TO BANK 의 서류 수취 은행 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36286,서류원본수신여부,PES_ORC_NBR_NE_YN,VARCHAR2,1,,비대면 서류제출 시스템(Find) 내부망 연계관련 제출서류원본수신여부 디폴트 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36287,서류점수,PES_RCRD,NUMBER,5,,수험생 서류 점수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36288,서류접수관리부점명,PES_RET_MNG_BBR_NM,VARCHAR2,100,,서류 접수를 관리하는 부점명을 의미한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36289,서류접수관리부점코드,PES_RET_MNG_BBR_C,VARCHAR2,3,,서류 접수를 관리하는 부점코드를 의미한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36290,서류접수마감일자,PES_RET_CSG_DT,VARCHAR2,8,,서류 접수 마감일자를 관리한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36291,서류접수상태내용,PES_RET_STS_CONE,VARCHAR2,100,,신용장 접수 상태 내용을 기록하는 항목입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36292,서류접수일자,PES_RET_DT,VARCHAR2,8,,서류를 접수한 일자를 관리한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36293,서류접수자명,PES_USH_NM,VARCHAR2,100,,서류_접수자_명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36294,서류접수진행상태코드,PES_RET_PRG_STS_C,VARCHAR2,2,,서류 접수진행 상태를 관리하는 코드이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36295,서류접수통지일자,PES_RET_NTI_DT,VARCHAR2,8,,서류가 접수통지된 일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36296,서류접수통지전화번호,PES_RET_NTI_TPN,VARCHAR2,20,,서류접수내역을 통보한 전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36297,서류접수통지확인자명,PES_RET_NTI_CFR_NM,VARCHAR2,100,,서류가 도착했음을  통보하는 경우 개설의뢰인쪽 통화자명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36298,서류정보,PES_INF,CLOB,,,차입업무 관광기금선정시 사용하는 서류정보내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36299,서류제시기간일수,PES_SHW_TRM_DDS,NUMBER,5,,서류를 제시 해야 하는 일수를 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36300,서류제시기준일자,PES_SHW_BSE_DT,VARCHAR2,8,,선적서류와 상업송장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36301,서류제시기한일수,PES_SHW_TLM_DDS,NUMBER,5,,관련 서류를 은행에 제시해야 하는 기간을 나타낸다. 5- 5영업일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36302,서류제시일수,PES_SHW_DDS,NUMBER,5,,운송서류를 요구하는 화환신용장의 경우 선적을 한 후 일정기간내에 운송서류를 제시해야 하는 기간.제시기간의 명시가 없는 경우 선적일 후 21일 이내,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36303,서류제시장소명,PES_SHW_PLC_NM,VARCHAR2,500,,신용장상에 표시된 서류제시 장소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36304,서류제출일시,PES_SMI_DTM,DATE,,,서류 제출 일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36305,서류처리코드,PES_PRC_C,VARCHAR2,2,,이 코드는 서류처리코드를 관리하는 코드입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36306,서류확인사용자ID,PES_CNFM_USID,VARCHAR2,14,,서류확인한 사용자의 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36307,서류회사여부,PES_CPN_YN,VARCHAR2,1,,서류상으로만 존재하고 사업 활동의 실태가 없는 회사(paper company)에 대한 여부를 관리한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36308,서면결의여부,WRS_RSLT_YN,VARCHAR2,1,,여신협의기구 안건 관련 서면결의여부를 관리하는 항목이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36309,서면신고여부,WRS_DCL_YN,VARCHAR2,1,,지급정지된 계좌의 서면신고여부 (Y:서면신고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36310,서면유선구분코드,WRS_WR_TC,VARCHAR2,2,,이 코드는 서면유선구분코드 정보를 관리합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36311,서면전환등록여부,WRS_COV_ENR_YN,VARCHAR2,1,,서면 전환 등록 여부를 관리한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36312,서명EID,SGT_EID,VARCHAR2,16,,서명이미지 관리를 위한 파일ID 값 (EKCM에 서명이미지를 등록하면 자동으로 부여되는 유일한 구분 값),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36313,서명글로벌참조번호,SGT_GBL_RFR_NO,VARCHAR2,16,,서명이미지등록시 채번하여 사용하는 글로벌참조번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36314,서명날인여부,SGT_SAL_YN,VARCHAR2,1,,인장날인연계대상 서명날인 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36315,서명사용자ID,SGT_USID,VARCHAR2,14,,서명 이미지 정보의 사용자ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36316,서명수취여부,SGT_RECV_YN,VARCHAR2,1,,거래상대방에 대한 거래정당성 체크시 사용하는 서명의 수취 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36317,서명수취일자,SGT_RECV_DT,VARCHAR2,8,,거래상대방에 대한 거래정당성 체크시 사용하는 서명의 수취일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36318,서명여부,SGT_YN,VARCHAR2,1,,서명여부 YN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36319,서명추출대상여부,SGT_ETT_TGT_YN,VARCHAR2,1,,인감/서명이미지 추출 대상 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36320,서명프로세스인스턴스ID,SGT_PRC_INTN_ID,VARCHAR2,12,,서명 이미지 관리를 위한 파일ID 값 (EKCM에 이미지를 등록하면 자동으로 부여되는 유일한 구분 값),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36321,서무원장상태코드,GAF_LDG_STS_C,VARCHAR2,2,,글로벌표준뱅킹에서 서무업무(General Affairs) 의 거래 원장의 상태를 관리하는 코드이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36322,서무인계여부,GAF_HOVR_YN,VARCHAR2,1,,소유 및 임차한 건물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36323,서민금융진흥원출연료,KINFA_CNBFE,NUMBER,18,3,서민금융법에 따른 서민들의 높은 금융부담,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36324,서민대출가능여부,COPP_LD_PSB_YN,VARCHAR2,1,,대출 취급대상이 서민 또는 대상에 부합하는지 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36325,서민실제수요자대출여부,COPP_ACL_DPR_LD_YN,VARCHAR2,1,,대출 대상이 서민 또는 실수요자 인지 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36326,서버명,SVR_NM,VARCHAR2,100,,[서버_명] : 서버를 사용자가 쉽게 인식할 수 있도록 부여한 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36327,서버시간보정값,SVR_HUR_RVSN_VL,NUMBER,4,,서버시간보정값(분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36328,서버첨부파일명,SVR_APG_FL_NM,VARCHAR2,100,,서버에 등록하는 첨부파일명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36329,서버파일명,SVR_FL_NM,VARCHAR2,100,,서버에 존재하는 파일의 명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36330,서브분석항목여부,SUB_ANL_ITM_YN,VARCHAR2,1,,성과관리 Grid Type 분석 항목의 존재 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36331,서브사업명,SUB_ABUS_NM,VARCHAR2,1000,,주사업관리번호에 소속된 서브사업의 사업명.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36332,서브사업번호,SUB_ABUS_NO,VARCHAR2,30,,주사업관리번호에 소속된 서브사업번호.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36333,서브사업자일련번호,SUB_BPR_SNO,NUMBER,9,,가맹점 구매/환급등의 처리하는 사업자가 하청 처리 하면서 서브(종) 사업자번호를 세분화 하여 부여하는 일련번호를 의미합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36334,서브업무시스템ID,SUB_BZ_SYS_ID,VARCHAR2,8,,업무 시스템의 서브 업무 시스템 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36335,서브업체담당자명,SUB_BNE_CGPR_NM,VARCHAR2,100,,해당 업체의 부 업무 담당자 명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36336,서브업체담당자이메일주소,SUB_BNE_CGPR_EML_ADDR,VARCHAR2,100,,해당 업체의 부 담당자 이메일주소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36337,서브업체담당자전화번호,SUB_BNE_CGPR_TPN,VARCHAR2,20,,해당 업체의 부 담당자 전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36338,서브업체담당자휴대전화번호,SUB_BNE_CGPR_MBTNO,VARCHAR2,20,,해당 업체의 부 담당자 휴대전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36339,서브연결계좌거래일련번호,SUB_LNK_ACT_TR_SNO,NUMBER,9,,서브연결계좌로 연동거래가 일어날 경우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36340,서브연결계좌번호,SUB_LNK_ACT_NO,VARCHAR2,20,,매입금액 결제를 위한 출금 처리 할 두번째 계좌번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36343,서브연결계좌연동거래일련번호,SUB_LNK_ACT_LKAG_TR_SNO,NUMBER,9,,서브연결계좌의 연동거래 거래일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36344,서브연결계좌입금금액,SUB_LNK_ACT_ROM_AMT,NUMBER,24,6,서브연결계좌에 입금되는 (원화/외화) 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36345,서브연결계좌적요,SUB_LNK_ACT_SPS,VARCHAR2,300,,매입자금 결제 계좌를 2개 등록하는 경우 2번째 계좌의 출금적요내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36346,서브연결계좌출금거래일련번호,SUB_LNK_ACT_WIW_TR_SNO,NUMBER,9,,서브연결계좌 출금거래시 거래일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36347,서브연결계좌출금금액,SUB_LNK_ACT_WIW_AMT,NUMBER,24,6,매입 처리시 서브연결계좌에서 출금된 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36348,서브외환거래번호,SUB_FXC_TRNO,VARCHAR2,20,,선차기발생관련 외국환거래번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36349,서브전문유형번호,SUB_TGR_TP_NO,VARCHAR2,3,,전문송수신시 사용하는 서브 메시지 유형명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36350,서브참조번호,SUB_RFR_NO,VARCHAR2,30,,글로벌참조번호 외 식별을 위한 서브 참조번호이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36351,서브출금계좌번호,SUB_WIW_ACT_NO,VARCHAR2,20,,매입신청거래 시 2번째 출금계좌번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36354,서브출금계좌적요,SUB_WIW_ACT_SPS,VARCHAR2,300,,입금거래시 연동출금하는 2번째 계좌의 거래적요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36355,서브출금요청금액,SUB_WIW_REQ_AMT,NUMBER,24,6,출금을 요청한 두번째 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36356,서브캠페인명,SUB_CAMP_NM,VARCHAR2,200,,캠페인데이터명세의 서브 캠페인명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36357,서브캠페인일련번호,SUB_CAMP_SNO,NUMBER,9,,서브캠페인의 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36358,서브펀드ID,SUB_FND_ID,VARCHAR2,4,,은행이 투자한 펀드에 속한 펀드를 구분하는 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36359,서브펀드명,SUB_FND_NM,VARCHAR2,100,,모펀드에 귀속되는 자펀드의 명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36360,서브펀드보유수,SUB_FND_HLD_NBR,NUMBER,10,,모펀드가 보유하고 있는 자펀드의 갯 수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36361,서브폴더명,SUB_FDR_NM,VARCHAR2,40,,서브 디렉토리명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36362,서브폴더일련번호,SUB_FDR_SNO,NUMBER,9,,서브 디렉토리 순차적인 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36363,서브프로그램ID,SUB_PGM_ID,VARCHAR2,10,,거래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36364,서비스ID,SVC_ID,VARCHAR2,100,,프로그램 서비스 ID 등 입력,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36365,서비스가입구분코드,SVC_JIN_TC,VARCHAR2,2,,고객이 가입한 서비스 구분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36366,서비스개시일자,SVC_OPG_DT,VARCHAR2,8,,서비스를 개시한 일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36367,서비스거래경로명,SVC_TR_PTH_NM,VARCHAR2,200,,서비스의 거래ID 와 일치 하는 거래 경로 명칭.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36368,서비스등록경로코드,SVC_ENR_PTH_C,VARCHAR2,2,,서비스 등록 거래가 발생한 경로를 의미한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36369,서비스명,SVC_NM,VARCHAR2,100,,[서비스_명] : 전산시스템의 서비스 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36370,서비스사용시작시각,SVC_USE_STT_TM,VARCHAR2,6,,이체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36371,서비스사용시작일자,SVC_USE_STT_DT,VARCHAR2,8,,이체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
