ID	유형	위험도	언어	레퍼런스	체커 타입	체커 키	체커명	라인	파일명	함수	경로	A.S	유사 이슈 그룹	이슈 상태	이슈 담당자	검출 시간	체커 설명	이슈 의견
967187	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	60	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967188	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	63	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967189	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	58	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967190	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	60	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967191	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	57	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967192	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	63	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967193	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	61	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967194	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	57	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967195	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	58	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967196	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	61	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
