PRLM_OGZ_C_CONE	BBR_NM	BBR_WREN_NM	ITM_SQN_SNO	PRLM_HRK_OGZ_C_CONE	USE_YN	FST_ENR_USID	FST_ENR_DTM	DEL_YN	GUID	GUID_PRG_SNO	LST_CHG_USID	LST_CHG_DTM
868	용인지점	Yongin Branch	285	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
122	윤리준법부	Compliance Department	163	014	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
865	일산지점	Ilsan Branch	273	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
725	잠원지점	Jamwon Branch	227	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
183	정보보호부	Information Security Department	169	021	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
063	중부지역본부	Jungbu Regional Head Office	207	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
870	천안지점	Cheonan Branch	337	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
721	충주지점	Chungju Branch	341	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
910	토쿄지점	Tokyo Branch	905	020	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
830	포항지점	Pohang Branch	323	050	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
076	해양산업금융본부	Maritime Finance Center	5	050	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
952	하노이지점개설준비위	Hochiminh Representative Office	924	020	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
420	자금운용실	Global Securities Trading Department	99	020	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
672	대구경북지역본부	DaeguGyeongbuk Regional Head Office	211	050	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
662	호남지역본부	Honam Regional Head Office	214	050	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
