테이블명	테이블한글명	컬럼명	컬럼한글명	"PK여부"	"NULL여부"	Default Value	타입	길이	"소수점"
TPRMPP_BPLANL	프로젝트관리_정보기술부문계획기본변경로그	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_BPLANL	프로젝트관리_정보기술부문계획기본변경로그	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_BPLANL	프로젝트관리_정보기술부문계획기본변경로그	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_BPLANL	프로젝트관리_정보기술부문계획기본변경로그	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	ABUS_MNG_NO	사업관리번호	Y	N		VARCHAR2	30	
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	REQ_DOC_NO	요청문서번호	Y	N		VARCHAR2	30	
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_BPLANA	프로젝트관리_정보기술부문계획관계	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ABUS_MNG_NO	사업관리번호	Y	N		VARCHAR2	30	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	SNO	일련번호	Y	N		NUMBER	9	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ABUS_NM	사업명		Y		VARCHAR2	100	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ABUS_CONE	사업내용		Y		VARCHAR2	1000	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ABUS_NCS_CONE	사업필요성내용		Y		VARCHAR2	300	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ABUS_TC	사업구분코드		N		VARCHAR2	2	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	BSE_YY	기준연도		Y		VARCHAR2	4	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	CNCD_RFR_NO	관련참조번호		Y		VARCHAR2	30	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	CPN_SAF_CONE	회사현황내용		Y		VARCHAR2	1000	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DGOG_PPO_CONE	효과성목적내용		Y		VARCHAR2	4000	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ABUS_RNG_CONE	사업범위내용		Y		VARCHAR2	600	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DPL_YN	중복여부		Y		VARCHAR2	1	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	STT_DTM	시작일시		Y		DATE		
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	END_DTM	종료일시		Y		DATE		
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	EXE_PTT_YN	실행가능성여부		Y		VARCHAR2	1	
