No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,도메인그룹
1539,3년이내외화금액,WIY3_FC_AMT,NUMBER,18,3,금액
1540,3년이내원화금액,WIY3_WON_AMT,NUMBER,18,,금액
1541,3년이내은행신용정보조회건수,WIY3_BNK_CRD_INF_INQ_CNT,NUMBER,10,,수
1542,3년이내자본비율,WIY3_CPIT_RATO,NUMBER,8,5,율/비율
1543,3년이내저축은행신용정보조회건수,WIY3_SVB_CRD_INF_INQ_CNT,NUMBER,10,,수
1544,3년이내추가마진율,WIY3_APN_MG_RT,NUMBER,8,5,율/비율
1545,3년이내추가상환수수료율,WIY3_APN_REPA_FEE_RT,NUMBER,8,5,율/비율
1546,3년이내카드신용정보조회건수,WIY3_CAD_CRD_INF_INQ_CNT,NUMBER,10,,수
1547,3년이내할부금융신용정보조회건수,WIY3_IFN_CRD_INF_INQ_CNT,NUMBER,10,,수
1548,3년이하금액,Y3_BLW_AMT,NUMBER,18,3,금액
1549,3년적용이율,Y3_ALY_ITSR,NUMBER,15,10,율/비율
1550,3년전근속1년수,Y3_BF_CSV_Y1_NBR,NUMBER,10,,수
1551,3년전근속2년수,Y3_BF_CSV_Y2_NBR,NUMBER,10,,수
1552,3년전근속3년수,Y3_BF_CSV_Y3_NBR,NUMBER,10,,수
1553,3년전근속수,Y3_BF_CSV_NBR,NUMBER,10,,수
1554,3년전기말인원수,Y3_BEOT_NOP_NBR,NUMBER,8,,수
1555,3년전기시인원수,Y3_BF_BGPR_NOP_NBR,NUMBER,8,,수
1556,3년전당기금액,Y3_BF_TTR_AMT,NUMBER,18,,금액
1557,3년전당행금액,Y3_BF_TBN_AMT,NUMBER,18,3,금액
1558,3년전신규인원수,Y3_BF_NW_NOP_NBR,NUMBER,8,,수
1559,3년전신규퇴직인원수,Y3_BF_NW_RTM_NOP_NBR,NUMBER,8,,수
1560,3년전자금세탁방지정량지표기준일자,Y3_BF_AML_FXQ_DTP_BSE_DT,VARCHAR2,8,,날짜
1561,3년전재무순위일련번호,Y3_BF_FAF_RKG_SNO,NUMBER,9,,일련번호
1562,3년전재무순위항목값,Y3_BF_FAF_RKG_ITM_VL,NUMBER,18,3,수
1563,3년전재무항목값,Y3_BF_FAF_ITM_VL,NUMBER,29,6,수
1564,3년전주주총회주주참석비율,Y3_BF_GMS_SHR_ATTN_RATO,NUMBER,9,4,율/비율
1565,3년전타행금액,Y3_BF_OBK_AMT,NUMBER,18,3,금액
1566,3년전퇴직인원수,Y3_BF_RTM_NOP_NBR,NUMBER,8,,수
1567,3년전합계금액,Y3_BF_ADU_AMT,NUMBER,18,3,금액
1568,3년초과4년이하금액,Y3_XCS_Y4_BLW_AMT,NUMBER,18,3,금액
1569,3년초과5년이하금액,Y3_XCS_Y5_BLW_AMT,NUMBER,18,3,금액
1570,3년초과금액,Y3_XCS_AMT,NUMBER,18,3,금액
1571,3년초과만기금액,Y3_XCS_XRT_AMT,NUMBER,18,3,금액
1572,3년최장연체일수내용,Y3_LGS_DECY_DDS_CONE,VARCHAR2,20,,내용
1573,3년펀드수익률,Y3_FND_ERN_RT,NUMBER,11,6,율/비율
1574,3년평균경락률,Y3_AVR_AOF_RT,NUMBER,8,5,율/비율
1575,3년평균표시여부,Y3_AVR_IDC_YN,VARCHAR2,1,,여부
1576,3년후분리과세기준일자,Y3_AF_SRT_TXN_BSE_DT,VARCHAR2,8,,날짜
1577,3년후분리과세대상여부,Y3_AF_SRT_TXN_TGT_YN,VARCHAR2,1,,여부
1578,3년후상환금액,Y3_AF_REPA_AMT,NUMBER,18,3,금액
1579,3단계지분출자관계유형여부,ST3_QTA_INVT_REL_TP_YN,VARCHAR2,1,,여부
1580,3단계카테고리명,ST3_CTG_NM,VARCHAR2,300,,명칭
1581,3레벨계정과목명,LV3_ASJ_NM,VARCHAR2,100,,명칭
1582,3레벨계정과목코드,LV3_ASJ_C,VARCHAR2,11,,코드
1583,3레벨금융감독원계정과목코드,LV3_FSS_ASJ_C,VARCHAR2,7,,코드
1584,3레벨내부거래회계상품구분코드,LV3_ITN_TR_FSC_PRD_TC,VARCHAR2,13,,코드
1585,3레벨상위계정과목명,LV3_HRK_ASJ_NM,VARCHAR2,200,,명칭
1586,3레벨상위계정과목코드,LV3_HRK_ASJ_C,VARCHAR2,11,,코드
1587,3레벨상위관리회계계정코드,LV3_HRK_MNG_FSC_ATS_C,VARCHAR2,15,,코드
1588,3레벨상위상품코드,LV3_HRK_PRD_C,VARCHAR2,12,,코드
1589,3레벨운영리스크사건ID,LV3_OPRG_RISK_HPN_ID,VARCHAR2,6,,ID
1590,3레벨위험영역구분코드,LV3_RSK_PVC_TC,VARCHAR2,3,,코드
1591,3레벨유동성항목분류코드,LV3_LQT_ITM_CLSF_C,VARCHAR2,4,,코드
1592,3레벨자금세탁방지업무프로세스ID,LV3_AML_BZ_PRC_ID,VARCHAR2,8,,ID
1593,3레벨자회사계정과목코드,LV3_SDC_ASJ_C,VARCHAR2,20,,코드
1594,3레벨표준산업분류명,LV3_STD_IDS_CLSF_NM,VARCHAR2,255,,명칭
1595,3레벨표준산업분류코드,LV3_STD_IDS_CLSF_C,VARCHAR2,6,,코드
1596,3레벨프로세스ID,LV3_PRC_ID,VARCHAR2,12,,ID
1597,3레벨한국은행계정과목ID,LV3_BOK_ASJ_ID,VARCHAR2,8,,ID
1598,3번구간위험가중치,N3_SCTN_RSK_WERE,NUMBER,3,,수
1599,3번구간재무이상치예외적용계산식,N3_SCTN_FAV_XCP_ALY_CLF,VARCHAR2,2000,,내용
1600,3번그리드정렬위치값,N3_GRID_SOT_POS_VL,NUMBER,3,,수
1601,3번녹색금융키워드구분코드,N3_GREEN_FNN_KWD_TC,VARCHAR2,2,,코드
1602,3번녹색금융키워드구분코드명,N3_GREEN_FNN_KWD_TC_NM,VARCHAR2,200,,명칭
1603,3번동일고객확인유형코드,N3_SME_CST_CNFM_TP_C,VARCHAR2,2,,코드
1604,3번디자인설명,N3_DEG_DES,VARCHAR2,300,,내용
1605,3번랜카드IP,N3_LAN_CAD_IP,VARCHAR2,20,,내용
1606,3번랜카드MAC,N3_LAN_CAD_MAC,VARCHAR2,17,,ID
1607,3번명함용지설명,N3_BSCD_PAP_DES,VARCHAR2,300,,내용
1608,3번별도연결COA명,N3_XTR_LNK_COA_NM,VARCHAR2,100,,명칭
1609,3번별도연결COA코드,N3_XTR_LNK_COA_C,VARCHAR2,20,,코드
1610,3번소득공제확인서발급번호,N3_IDT_CFW_ISN_NO,VARCHAR2,10,,번호
1611,3번이미지경로,N3_IMG_PTH,VARCHAR2,300,,내용
1612,3번장부가,N3_ABK_PR,NUMBER,18,,금액
1613,3번첨부파일명,N3_APG_FL_NM,VARCHAR2,100,,명칭
1614,3분기재무제표계산식,QT3_FNS_CLF,VARCHAR2,2000,,내용
1615,3순위감정가격,RK3_APSL_PR,NUMBER,18,3,금액
1616,3순위개시후연금예상수령내용,RK3_OPG_AF_PNS_ATP_RCV_CONE,VARCHAR2,500,,내용
1617,3순위보증금액,RK3_GRT_AMT,NUMBER,18,,금액
1618,3순위심사자배분기준코드,RK3_IPR_ARM_BSE_C,VARCHAR2,2,,코드
1619,3순위책임사용자ID,RK3_RSP_USID,VARCHAR2,14,,ID
1620,3십만원매수,HTW3_NOSH,NUMBER,10,,수
1621,3월결산연결금액,MAR_SOA_LNK_AMT,NUMBER,18,,금액
1622,3월고객기여도등급코드,MAR_CST_CDG_GR_C,VARCHAR2,1,,코드
1623,3월납입금액,MAR_PAIN_AMT,NUMBER,24,6,금액
1624,3월납입일,MAR_PAIN_DD,VARCHAR2,2,,날짜
1625,3월납입일자,MAR_PAIN_DT,VARCHAR2,8,,날짜
1626,3월내부거래금액,MAR_ITN_TR_AMT,NUMBER,18,,금액
1627,3월내부거래외화금액,MAR_ITN_TR_FC_AMT,NUMBER,18,3,금액
1628,3월물금리,VM3_IRT,NUMBER,8,5,율/비율
1629,3월수출실적자사금액,MAR_EXP_RSL_OCM_AMT,NUMBER,18,3,금액
1630,3월수출실적타사금액,MAR_EXP_RSL_OCP_AMT,NUMBER,18,3,금액
1631,3월수출실적합계금액,MAR_EXP_RSL_ADU_AMT,NUMBER,18,3,금액
1632,3월이자상환금액,MAR_INT_REPA_AMT,NUMBER,18,3,금액
1633,3월이자상환일자,MAR_INT_REPA_DT,VARCHAR2,8,,날짜
1634,3월이하금액,MAR_BLW_AMT,NUMBER,18,,금액
1635,3월집계금액,MAR_TLZ_AMT,NUMBER,18,3,금액
1636,3월초과6월이하금액,MAR_XCS_JUN_BLW_AMT,NUMBER,18,,금액
1637,3월합계건수,MAR_ADU_CNT,NUMBER,10,,수
1638,3일엔화예금대미환산금액,D3_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
1639,3일외화예금대미환산금액,D3_FC_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
1640,3일전변동성추이값,D3_BF_VLTL_TSI_VL,NUMBER,18,6,수
1641,3일전영업일자,D3_BF_SLS_DT,VARCHAR2,8,,날짜
1642,3일집계금액,D3_TLZ_AMT,NUMBER,18,3,금액
1643,3일차집계금액,SD3_TLZ_AMT,NUMBER,18,3,금액
1644,3일초과연체금액,D3_XCS_DECY_AMT,NUMBER,18,3,금액
1645,3일초과연체여부,D3_XCS_DECY_YN,VARCHAR2,1,,여부
1646,3일후영업일자,D3_AF_SLS_DT,VARCHAR2,8,,날짜
1647,3자이체당행건수,PA3_TBN_CNT,NUMBER,6,,수
1648,3자이체당행금액,PA3_TBN_AMT,NUMBER,18,,금액
1649,3자이체타행건수,PA3_OBK_CNT,NUMBER,6,,수
1650,3자이체타행금액,PA3_OBK_AMT,NUMBER,18,,금액
1651,3자이체타행취소건수,PA3_OBK_CCL_CNT,NUMBER,6,,수
1652,3자이체타행취소금액,PA3_OBK_CCL_AMT,NUMBER,18,,금액
1653,3종주의사고건수,CL3_CAU_ACD_CNT,NUMBER,10,,수
1654,3종주의코드건수,CL3_CAU_C_CNT,NUMBER,10,,수
1655,3종출자지분금액,CL3_INVT_QTA_AMT,NUMBER,18,,금액
1656,3종출자지분인수금액,CL3_INVT_QTA_UDW_AMT,NUMBER,18,,금액
1657,3주차집계금액,SW3_TLZ_AMT,NUMBER,18,3,금액
1658,3주후예상금액,AW3_ATP_AMT,NUMBER,18,3,금액
1659,3차2군계좌보유은행주소,SQ3_GR_ACT_HLD_BNK_ADDR,VARCHAR2,50,,연락처
1660,3차2군발주은행주소,SQ3_GR_ODR_BNK_ADDR,VARCHAR2,50,,연락처
1661,3차2군중계은행주소,SQ3_GR_RLY_BNK_ADDR,VARCHAR2,50,,연락처
1662,3차BIC주소,SQ3_BIC_ADDR,VARCHAR2,300,,연락처
1663,3차IP,SQ3_IP,VARCHAR2,20,,내용
1664,3차MAC주소,SQ3_MAC_ADDR,VARCHAR2,20,,연락처
1665,3차거래일련번호,SQ3_TR_SNO,NUMBER,9,,일련번호
1666,3차거래일자,SQ3_TR_DT,VARCHAR2,8,,날짜
1667,3차결제계좌보유기관명주소,SQ3_STM_ACT_HLD_IST_NM_ADDR,VARCHAR2,50,,연락처
1668,3차결제이미지업무구분코드,SQ3_STM_IMG_BZ_TC,VARCHAR2,6,,코드
1669,3차고객전담위원보개인번호,SQ3_ARM_EPN,VARCHAR2,6,,번호
1670,3차고객전담위원보사용자ID,SQ3_ARM_USID,VARCHAR2,14,,ID
1671,3차고객전담위원보사용자명,SQ3_ARM_USR_NM,VARCHAR2,100,,명칭
1672,3차글로벌발송DEPO은행주소,SQ3_GBL_SD_DEPO_BNK_ADDR,VARCHAR2,50,,연락처
1673,3차글로벌발주은행주소,SQ3_GBL_ODR_BNK_ADDR,VARCHAR2,50,,연락처
1674,3차글로벌송금계좌보유금융기관주소,SQ3_GBL_RMI_ACT_HLD_FIT_ADDR,VARCHAR2,50,,연락처
1675,3차글로벌송금발송기관주소,SQ3_GBL_RMI_SD_IST_ADDR,VARCHAR2,50,,연락처
1676,3차글로벌수취DEPO은행주소,SQ3_GBL_RECV_DEPO_BNK_ADDR,VARCHAR2,50,,연락처
1677,3차글로벌책임자결재상태코드,SQ3_GBL_RSPR_DCD_STS_C,VARCHAR2,2,,코드
1678,3차글로벌환어음발행인주소,SQ3_GBL_BFX_PBPR_ADDR,VARCHAR2,50,,연락처
1679,3차글로벌환어음지급인주소,SQ3_GBL_BFX_PASN_ADDR,VARCHAR2,50,,연락처
1680,3차당행결제은행명주소,SQ3_TBN_STM_BNK_NM_ADDR,VARCHAR2,50,,연락처
1681,3차명부추가번호,SQ3_RON_APN_NO,VARCHAR2,3,,번호
1682,3차미국은행협회주소,SQ3_ABA_ADDR,VARCHAR2,50,,연락처
1683,3차반기항목값,SQ3_HY_ITM_VL,NUMBER,28,10,수
1684,3차발송금융기관주소,SQ3_SD_FIT_ADDR,VARCHAR2,50,,연락처
1685,3차보유자채권거래내용,SQ3_HLR_BD_TR_CONE,VARCHAR2,300,,내용
1686,3차보유자채권금액,SQ3_HLR_BD_AMT,NUMBER,18,3,금액
1687,3차보유자채권내용,SQ3_HLR_BD_CONE,VARCHAR2,300,,내용
1688,3차보유자채권수량,SQ3_HLR_BD_QTY,NUMBER,10,,단위
1689,3차보유자채권시스템내용,SQ3_HLR_BD_SYS_CONE,VARCHAR2,300,,내용
1690,3차부가정보내용,SQ3_ADN_INF_CONE,VARCHAR2,300,,내용
1691,3차부도일자,SQ3_DSH_DT,VARCHAR2,8,,날짜
1692,3차분기항목값,SQ3_QRT_ITM_VL,NUMBER,28,10,수
1693,3차설문응답내용,SQ3_QUS_RPD_CONE,VARCHAR2,300,,내용
1694,3차수입자주소,SQ3_IMR_ADDR,VARCHAR2,50,,연락처
1695,3차수출자주소,SQ3_XPR_ADDR,VARCHAR2,50,,연락처
1696,3차수취기관명주소,SQ3_RECV_IST_NM_ADDR,VARCHAR2,50,,연락처
1697,3차수표번호,SQ3_CHK_NO,VARCHAR2,8,,번호
1698,3차수혜자금융기관주소,SQ3_BEN_FIT_ADDR,VARCHAR2,50,,연락처
1699,3차수혜자은행명주소,SQ3_BEN_BNK_NM_ADDR,VARCHAR2,50,,연락처
1700,3차수혜자주소,SQ3_BEN_ADDR,VARCHAR2,200,,연락처
1701,3차승인1순위소속부점명,SQ3_APV_RK1_BLGT_BBR_NM,VARCHAR2,100,,명칭
1702,3차승인1순위책임사용자ID,SQ3_APV_RK1_RSP_USID,VARCHAR2,14,,ID
1703,3차승인1순위책임사용자명,SQ3_APV_RK1_RSP_USR_NM,VARCHAR2,100,,명칭
1704,3차승인2순위소속부점명,SQ3_APV_RK2_BLGT_BBR_NM,VARCHAR2,100,,명칭
1705,3차승인2순위책임사용자ID,SQ3_APV_RK2_RSP_USID,VARCHAR2,14,,ID
1706,3차승인2순위책임사용자명,SQ3_APV_RK2_RSP_USR_NM,VARCHAR2,100,,명칭
1707,3차승인3순위소속부점명,SQ3_APV_RK3_BLGT_BBR_NM,VARCHAR2,100,,명칭
1708,3차승인3순위책임사용자ID,SQ3_APV_RK3_RSP_USID,VARCHAR2,14,,ID
1709,3차승인3순위책임사용자명,SQ3_APV_RK3_RSP_USR_NM,VARCHAR2,100,,명칭
1710,3차승인반려사유내용,SQ3_APV_TRDN_RSN_CONE,VARCHAR2,300,,내용
1711,3차승인사용자ID,SQ3_APV_USID,VARCHAR2,14,,ID
1712,3차승인처리일시,SQ3_APV_PRC_DTM,DATE,,,날짜
1713,3차시작수표번호,SQ3_STT_CHK_NO,VARCHAR2,8,,번호
1714,3차신용장사용제한은행명주소,SQ3_LC_USE_RTC_BNK_NM_ADDR,VARCHAR2,50,,연락처
1715,3차연도결산년월,SQ3_YY_SOA_YM,VARCHAR2,6,,날짜
1716,3차연도경상이익금액,SQ3_YY_ODN_PFT_AMT,NUMBER,18,3,금액
1717,3차연도단기금융평가점수,SQ3_YY_SHT_FNN_EVL_RCRD,NUMBER,5,,수
1718,3차연도당기순이익금액,SQ3_YY_TTR_NPFT_AMT,NUMBER,18,3,금액
1719,3차연도매출금액,SQ3_YY_RVN_AMT,NUMBER,18,3,금액
1720,3차연도매출영업이익률,SQ3_YY_RVN_SLS_PFT_RT,NUMBER,9,4,율/비율
1721,3차연도부가가치율,SQ3_YY_ADN_WOR_RT,NUMBER,9,4,율/비율
1722,3차연도부채금액,SQ3_YY_DEBT_AMT,NUMBER,18,3,금액
1723,3차연도부채비율,SQ3_YY_DEBT_RATO,NUMBER,9,4,율/비율
1724,3차연도유동비율,SQ3_YY_FUD_RATO,NUMBER,9,4,율/비율
1725,3차연도자본금액,SQ3_YY_CPIT_AMT,NUMBER,18,3,금액
1726,3차연도자산금액,SQ3_YY_AST_AMT,NUMBER,18,3,금액
1727,3차연도총자본경상이익률,SQ3_YY_TOT_CPIT_ODN_PFT_RT,NUMBER,9,4,율/비율
1728,3차연도총자본회전율,SQ3_YY_TOT_CPIT_RTT_RT,NUMBER,9,4,율/비율
1729,3차연도한국신용정보인공지능번호,SQ3_YY_NICE_AI_NO,VARCHAR2,1,,번호
1730,3차연도한국신용정보인공지능점수,SQ3_YY_NICE_AI_RCRD,NUMBER,5,,수
1731,3차의뢰인고객주소,SQ3_CLR_CST_ADDR,VARCHAR2,50,,연락처
1732,3차전형면접일시,SQ3_SCN_ITV_DTM,DATE,,,날짜
1733,3차전형명,SQ3_SCN_NM,VARCHAR2,100,,명칭
1734,3차전형비고,SQ3_SCN_RMK,VARCHAR2,300,,내용
1735,3차제3자정산은행주소,SQ3_TDPR_XCL_BNK_ADDR,VARCHAR2,50,,연락처
1736,3차졸업논문심사자명,SQ3_GRDN_THS_IPR_NM,VARCHAR2,100,,명칭
1737,3차종료수표번호,SQ3_END_CHK_NO,VARCHAR2,8,,번호
1738,3차주택도시보증공사부실자료명코드,SQ3_HUG_UNR_MRL_NM_C,VARCHAR2,2,,코드
1739,3차중개은행명주소,SQ3_IMD_BNK_NM_ADDR,VARCHAR2,50,,연락처
1740,3차중계은행명주소,SQ3_RLY_BNK_NM_ADDR,VARCHAR2,50,,연락처
1741,3차지시기관명주소,SQ3_ORS_IST_NM_ADDR,VARCHAR2,50,,연락처
1742,3차지시에이전트글로벌BIC코드,SQ3_ORS_AGT_GBL_BIC_C,VARCHAR2,11,,코드
1743,3차채권보유자고객명,SQ3_BD_HLR_CST_NM,VARCHAR2,100,,명칭
1744,3차책임자승인상태코드,SQ3_RSPR_APV_STS_C,VARCHAR2,2,,코드
1745,3차추가적립사유,SQ3_APN_RSV_RSN,VARCHAR2,600,,내용
1746,3차출제자명,SQ3_EXMR_NM,VARCHAR2,100,,명칭
1747,3차타행결제은행명주소,SQ3_OBK_STM_BNK_NM_ADDR,VARCHAR2,50,,연락처
1748,3차퇴직예상급여금액,SQ3_RTM_ATP_SLY_AMT,NUMBER,24,6,금액
1749,3회차메시지입출력단말번호,OD3_MSG_IOT_TMN_NO,VARCHAR2,10,,번호
1750,3회차상세조사내용,OD3_DTL_SVY_CONE,VARCHAR2,2000,,내용
1751,3회차알림기준월일,OD3_INFM_BSE_MD,VARCHAR2,4,,날짜
1752,3회차유예등록일자,OD3_GRAE_ENR_DT,VARCHAR2,8,,날짜
1753,3회차유예사유,OD3_GRAE_RSN,VARCHAR2,600,,내용
1754,3회차유예일자,OD3_GRAE_DT,VARCHAR2,8,,날짜
1755,3회차체크카드회원불능사유코드,OD3_CH_MEMB_INB_RSN_C,VARCHAR2,4,,코드
1756,400퍼센트EAD금액,P400_EAD_AMT,NUMBER,18,3,금액
1757,40대연령,A40_AGE,NUMBER,10,,단위
1758,40대연령고객수,A40_AGE_CST_NBR,NUMBER,10,,수
1759,40대연령수신잔액,A40_AGE_DP_BBL,NUMBER,21,3,금액
1760,4개월가산율,M4_ADAL_RT,NUMBER,8,5,율/비율
1761,4개월전KCB계좌상태코드,M4_BF_KCB_ACT_STS_C,VARCHAR2,1,,코드
1762,4개월전대출건수,M4_BF_LD_CNT,NUMBER,10,,수
1763,4개월전대출금액,M4_BF_LD_AMT,NUMBER,18,3,금액
1764,4개월전보유신용카드수,M4_BF_HLD_CRC_NBR,NUMBER,10,,수
1765,4개월전사용신용카드수,M4_BF_USE_CRC_NBR,NUMBER,10,,수
1766,4개월전신용카드총사용금액,M4_BF_CRC_TOT_USE_AMT,NUMBER,18,3,금액
1767,4개월전연체대출건수,M4_BF_DECY_LD_CNT,NUMBER,10,,수
1768,4개월전연체대출금액,M4_BF_DECY_LD_AMT,NUMBER,18,3,금액
1769,4개월전잔액,M4_BF_BBL,NUMBER,18,,금액
1770,4개월전총한도합계금액,M4_BF_TOT_LMT_ADU_AMT,NUMBER,18,3,금액
1771,4개월전최장연체일수,M4_BF_LGS_DECY_DDS,NUMBER,5,,수
1772,4개월전한국신용정보계좌상태코드,M4_BF_NICE_ACT_STS_C,VARCHAR2,1,,코드
1773,4개월전할부사용금액,M4_BF_ISTM_USE_AMT,NUMBER,18,3,금액
1774,4개월전할부사용신용카드수,M4_BF_ISTM_USE_CRC_NBR,NUMBER,10,,수
1775,4개월전현금서비스사용금액,M4_BF_CAV_USE_AMT,NUMBER,18,3,금액
1776,4개월전현금서비스사용신용카드수,M4_BF_CAV_USE_CRC_NBR,NUMBER,10,,수
1777,4개월전현금서비스한도합계금액,M4_BF_CAV_LMT_ADU_AMT,NUMBER,18,3,금액
1778,4개월초과5개월이하금액,M4_XCS_M5_BLW_AMT,NUMBER,18,3,금액
1779,4개월평균외화LCR가중치적용금액,M4_AVR_FC_LCR_WERE_ALY_AMT,NUMBER,18,3,금액
1780,4개월평균원화LCR가중치적용금액,M4_AVR_WON_LCR_WERE_ALY_AMT,NUMBER,18,3,금액
1781,4개월평균통합LCR가중치적용금액,M4_AVR_ITR_LCR_WERE_ALY_AMT,NUMBER,18,3,금액
1782,4구간건수,SET4_CNT,NUMBER,5,,수
1783,4구간금리,SET4_IRT,NUMBER,8,5,율/비율
1784,4구간심층분석모형색인번호,SET4_IDE_ANL_MDEL_IDX_NO,VARCHAR2,2,,번호
1785,4군회수정책규칙사유명,GR4_RCM_PLCY_RUL_RSN_NM,VARCHAR2,4,,명칭
1786,4군회수판정결과내용,GR4_RCM_JDG_RLT_CONE,VARCHAR2,300,,내용
1787,4군회수판정결과명,GR4_RCM_JDG_RLT_NM,VARCHAR2,10,,명칭
1788,4군회수판정결과코드,GR4_RCM_JDG_RLT_C,VARCHAR2,2,,코드
1789,4년결산년월,Y4_SOA_YM,VARCHAR2,6,,날짜
1790,4년기간수익률,Y4_TRM_ERN_RT,NUMBER,8,5,율/비율
1791,4년상환예정금액,Y4_RPMP_AMT,NUMBER,18,3,금액
1792,4년상환예정이자,Y4_RPMP_INT,NUMBER,18,3,금액
1793,4년스왑거래환율,Y4_SWP_TR_XCR,NUMBER,11,6,율/비율
1794,4년이내기준통화환산금액,WIY4_BSE_CUR_CVS_AMT,NUMBER,18,3,금액
1795,4년이내상환계획금액,WIY4_REPA_PLN_AMT,NUMBER,18,3,금액
1796,4년이내상환계획이자,WIY4_REPA_PLN_INT,NUMBER,18,3,금액
1797,4년이내상환금액,WIY4_REPA_AMT,NUMBER,18,3,금액
1798,4년이내상환기준통화환산금액,WIY4_REPA_BSE_CUR_CVS_AMT,NUMBER,18,3,금액
1799,4년이내상환원화환산금액,WIY4_REPA_WONC_AMT,NUMBER,18,,금액
1800,4년이내신용리스크율,WIY4_CRD_RISK_RT,NUMBER,8,5,율/비율
1801,4년이내외화금액,WIY4_FC_AMT,NUMBER,18,3,금액
1802,4년이내원화금액,WIY4_WON_AMT,NUMBER,18,,금액
1803,4년이내자본비율,WIY4_CPIT_RATO,NUMBER,8,5,율/비율
1804,4년이내추가마진율,WIY4_APN_MG_RT,NUMBER,8,5,율/비율
1805,4년적용이율,Y4_ALY_ITSR,NUMBER,15,10,율/비율
1806,4년전당기금액,Y4_BF_TTR_AMT,NUMBER,18,,금액
1807,4년전당행금액,Y4_BF_TBN_AMT,NUMBER,18,3,금액
1808,4년전재무순위일련번호,Y4_BF_FAF_RKG_SNO,NUMBER,9,,일련번호
1809,4년전재무순위항목값,Y4_BF_FAF_RKG_ITM_VL,NUMBER,18,3,수
1810,4년전재무항목값,Y4_BF_FAF_ITM_VL,NUMBER,29,6,수
1811,4년전타행금액,Y4_BF_OBK_AMT,NUMBER,18,3,금액
1812,4년전합계금액,Y4_BF_ADU_AMT,NUMBER,18,3,금액
1813,4년초과5년이하금액,Y4_XCS_Y5_BLW_AMT,NUMBER,18,3,금액
1814,4년후상환금액,Y4_AF_REPA_AMT,NUMBER,18,3,금액
1815,4단계추정근거,ST4_ASP_FDTN,VARCHAR2,4000,,내용
1816,4단계카테고리명,ST4_CTG_NM,VARCHAR2,300,,명칭
1817,4대보험가입1년미만재직여부,FSIP_JIN_UDY1_HDO_YN,VARCHAR2,1,,여부
1818,4대보험완납확인여부,FSIP_CPY_CNFM_YN,VARCHAR2,1,,여부
1819,4레벨계정과목명,LV4_ASJ_NM,VARCHAR2,100,,명칭
1820,4레벨계정과목코드,LV4_ASJ_C,VARCHAR2,11,,코드
1821,4레벨금융감독원계정과목코드,LV4_FSS_ASJ_C,VARCHAR2,7,,코드
1822,4레벨내부거래회계상품구분코드,LV4_ITN_TR_FSC_PRD_TC,VARCHAR2,13,,코드
1823,4레벨상위계정과목명,LV4_HRK_ASJ_NM,VARCHAR2,200,,명칭
1824,4레벨상위계정과목코드,LV4_HRK_ASJ_C,VARCHAR2,11,,코드
1825,4레벨상위관리회계계정코드,LV4_HRK_MNG_FSC_ATS_C,VARCHAR2,15,,코드
1826,4레벨상위상품코드,LV4_HRK_PRD_C,VARCHAR2,12,,코드
1827,4레벨위험영역구분코드,LV4_RSK_PVC_TC,VARCHAR2,3,,코드
1828,4레벨자금세탁방지업무프로세스ID,LV4_AML_BZ_PRC_ID,VARCHAR2,8,,ID
1829,4레벨자회사계정과목코드,LV4_SDC_ASJ_C,VARCHAR2,20,,코드
1830,4레벨프로세스ID,LV4_PRC_ID,VARCHAR2,12,,ID
1831,4레벨한국은행계정과목ID,LV4_BOK_ASJ_ID,VARCHAR2,8,,ID
1832,4번구간위험가중치,N4_SCTN_RSK_WERE,NUMBER,3,,수
1833,4번구간재무이상치예외적용계산식,N4_SCTN_FAV_XCP_ALY_CLF,VARCHAR2,2000,,내용
1834,4번그리드정렬위치값,N4_GRID_SOT_POS_VL,NUMBER,3,,수
1835,4번소득공제확인서발급번호,N4_IDT_CFW_ISN_NO,VARCHAR2,10,,번호
1836,4분기재무제표계산식,QT4_FNS_CLF,VARCHAR2,2000,,내용
1837,4순위보증금액,RK4_GRT_AMT,NUMBER,18,,금액
1838,4순위책임사용자ID,RK4_RSP_USID,VARCHAR2,14,,ID
1839,4월고객기여도등급코드,APR_CST_CDG_GR_C,VARCHAR2,1,,코드
1840,4월납입금액,APR_PAIN_AMT,NUMBER,24,6,금액
1841,4월납입일,APR_PAIN_DD,VARCHAR2,2,,날짜
1842,4월납입일자,APR_PAIN_DT,VARCHAR2,8,,날짜
1843,4월물금리,VM4_IRT,NUMBER,8,5,율/비율
1844,4월수출실적자사금액,APR_EXP_RSL_OCM_AMT,NUMBER,18,3,금액
1845,4월수출실적타사금액,APR_EXP_RSL_OCP_AMT,NUMBER,18,3,금액
1846,4월수출실적합계금액,APR_EXP_RSL_ADU_AMT,NUMBER,18,3,금액
1847,4월이자상환금액,APR_INT_REPA_AMT,NUMBER,18,3,금액
1848,4월이자상환일자,APR_INT_REPA_DT,VARCHAR2,8,,날짜
1849,4월집계금액,APR_TLZ_AMT,NUMBER,18,3,금액
1850,4월합계건수,APR_ADU_CNT,NUMBER,10,,수
1851,4일엔화예금대미환산금액,D4_JPY_DETS_TOUS_CVS_AMT,NUMBER,24,6,금액
