인덱스명	Column	테이블	인덱스 유형	Ascending	Expression	Unique	Tablespace
IX_TPRMPP_BPAYMM_02	IOE_C, CNCD_RFR_NO	TPRMPP_BPAYMM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BPAYMM_03	SYS_NC00017$	TPRMPP_BPAYMM	Function-based Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPAYMM	DOC_MNG_NO, DOC_VRS_SNO	TPRMPP_BPAYMM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BCONTM_01	IT_PTL_STS_TC	TPRMPP_BCONTM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BCONTM_02	IOE_C, CNCD_RFR_NO	TPRMPP_BCONTM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BCONTM_03	SYS_NC00021$	TPRMPP_BCONTM	Function-based Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BCONTM	DOC_MNG_NO, DOC_VRS_SNO	TPRMPP_BCONTM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CBLBML	LOG_HIS_TGR_SNO	TPRMPP_CBLBML	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPQNAM	IT_PTL_ASCT_ID, QTN_ID	TPRMPP_BPQNAM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPROJL_01	CHG_DTM	TPRMPP_BPROJL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BPROJL	LOG_HIS_TGR_SNO	TPRMPP_BPROJL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CINFMM_01	INFM_SD_STS_C, RE_TRY_NOT, SD_DTM	TPRMPP_CINFMM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CINFMM	INFM_MSG_NO	TPRMPP_CINFMM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CRTOKM_01	ENO	TPRMPP_CRTOKM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_CRTOKM_02	ECY_RNW_PUB_TOK_CONE	TPRMPP_CRTOKM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CRTOKM	LGN_LOG_SNO	TPRMPP_CRTOKM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BCOSTL_01	CHG_DTM	TPRMPP_BCOSTL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BCOSTL	LOG_HIS_TGR_SNO	TPRMPP_BCOSTL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZGL	LOG_HIS_TGR_SNO	TPRMPP_BBIZGL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BEVALL_01	CHG_DTM	TPRMPP_BEVALL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BEVALL	LOG_HIS_TGR_SNO	TPRMPP_BEVALL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BASKPM	IT_PTL_ASCT_ID	TPRMPP_BASKPM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZCL	LOG_HIS_TGR_SNO	TPRMPP_BBIZCL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BRDOCL_01	CHG_DTM	TPRMPP_BRDOCL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BRDOCL	LOG_HIS_TGR_SNO	TPRMPP_BRDOCL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BRSLTM	IT_PTL_ASCT_ID	TPRMPP_BRSLTM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPROJM_01	BSE_YY, DEL_YN, LST_YN, ODN_YN	TPRMPP_BPROJM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BPROJM_02	ABUS_MNG_NO, DEL_YN, LST_YN, SNO	TPRMPP_BPROJM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BPROJM	ABUS_MNG_NO, SNO	TPRMPP_BPROJM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BASCTL_01	CHG_DTM	TPRMPP_BASCTL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BASCTL	LOG_HIS_TGR_SNO	TPRMPP_BASCTL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPLEVM	IT_PTL_ASCT_ID, ENO, ABUS_MNG_NO	TPRMPP_BPLEVM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZSM	ABUS_MNG_NO, SNO	TPRMPP_BBIZSM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CFILEM	FL_MPN_ID	TPRMPP_CFILEM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BGDOCL_01	CHG_DTM	TPRMPP_BGDOCL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BGDOCL	LOG_HIS_TGR_SNO	TPRMPP_BGDOCL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BDELIM_01	IT_PTL_STS_TC	TPRMPP_BDELIM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BDELIM_02	IOE_C, CNCD_RFR_NO	TPRMPP_BDELIM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BDELIM_03	SYS_NC00023$	TPRMPP_BDELIM	Function-based Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BDELIM	DOC_MNG_NO, DOC_VRS_SNO	TPRMPP_BDELIM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BRIVGL_01	CHG_DTM	TPRMPP_BRIVGL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BRIVGL	LOG_HIS_TGR_SNO	TPRMPP_BRIVGL	Normal	[NULL]	[NULL]	true	TSIITP01
